source_line	original	nomi_ru	nomi_uz	review_reason
3512	БИОДЕРМА HYDRABIO PERFECTEUR КРЕМ УВЛАЖ SPF 30+ 40МЛ	Биодерма HYDRABIO PERFECTEUR крем Увлаж SPF 30+ 40 мл	Bioderma HYDRABIO PERFECTEUR krem Uvlaj SPF 30+ 40 ml	brand_spelling_not_verified
3513	БИОДЕРМА HYDRABIO SERUM СЫВОРАТКА УВЛАЖНЯЮЩАЯ 40МЛ	Биодерма HYDRABIO SERUM Сыворатка Увлажняющая 40 мл	Bioderma HYDRABIO SERUM Sivoratka Uvlajnyayushchaya 40 ml	brand_spelling_not_verified
3514	БИОДЕРМА HYDRABIO TONIQUE ЛОСЬОН ТОНИЗИРУЮЩИЙ И УВЛАЖНЯЮЩИЙ 250МЛ	Биодерма HYDRABIO TONIQUE Лосьон Тонизирующий И Увлажняющий 250 мл	Bioderma HYDRABIO TONIQUE Loson Toniziruyushchiy I Uvlajnyayushchiy 250 ml	brand_spelling_not_verified
3515	БИОДЕРМА HYDRABIO ГЕЛЬ-КРЕМ УВЛАЖНЯЮЩАЯ 40МЛ	Биодерма HYDRABIO Гель-крем Увлажняющая 40 мл	Bioderma HYDRABIO Gel-krem Uvlajnyayushchaya 40 ml	brand_spelling_not_verified
3516	БИОДЕРМА HYDRABIO КРЕМ УВЛАЖ УХОД С НАСЫЩЕННОЙ ТЕКСТУРОЙ 50МЛ	Биодерма HYDRABIO крем Увлаж Уход С Насыщенной Текстурой 50 мл	Bioderma HYDRABIO krem Uvlaj Uxod S Nasishchennoy Teksturoy 50 ml	brand_spelling_not_verified
3517	БИОДЕРМА NODE DS ШАМПУНЬ ИНТЕНСИВНЫЙ ПРОТИВ ПЕРХОТИ 125МЛ	Биодерма NODE DS шампунь Интенсивный Против Перхоти 125 мл	Bioderma NODE DS shampun Intensivniy Protiv Perxoti 125 ml	brand_spelling_not_verified
3518	БИОДЕРМА NODE K КРЕМ-ШАМПУНЬ ПРОТИВ ШЕЛУШЕНИЯ КОЖИ 150МЛ	Биодерма NODE K Крем-шампунь Против Шелушения Кожи 150 мл	Bioderma NODE K Krem-shampun Protiv Shelusheniya Koji 150 ml	brand_spelling_not_verified
3519	БИОДЕРМА NODE NON DETERGENT ШАМПУНЬ Д/ВСЕХ ТИПОВ ВОЛОС 400МЛ	Биодерма NODE NON DETERGENT шампунь Д/всех Типов Волос 400 мл	Bioderma NODE NON DETERGENT shampun D/vsex Tipov Volos 400 ml	unresolved_abbreviation
3520	БИОДЕРМА NODE P PURIFIANT ШАМПУНЬ ОЧИЩАЮЩИЙ ПРОТИВ ПЕРХОТИ 400МЛ	Биодерма NODE P PURIFIANT шампунь Очищающий Против Перхоти 400 мл	Bioderma NODE P PURIFIANT shampun Ochishchayushchiy Protiv Perxoti 400 ml	brand_spelling_not_verified
3521	БИОДЕРМА PHOTODERM AKN MAT СОЛНЦЕЗАЩИТНАЯ ЭМУЛЬСИЯ SPF30 40МЛ	Биодерма PHOTODERM AKN MAT Солнцезащитная Эмульсия SPF30 40 мл	Bioderma PHOTODERM AKN MAT Solntsezashchitnaya Emulsiya SPF30 40 ml	brand_spelling_not_verified
3522	БИОДЕРМА PHOTODERM AQUAFLUIDE CLAIRE LIGHT КРЕМ СОЛНЦЕЗАЩИТНЫЙ ДЛЯ ЛИЦА SPF 50+ 40МЛ	Биодерма PHOTODERM AQUAFLUIDE CLAIRE LIGHT крем Солнцезащитный ДЛЯ Лица SPF 50+ 40 мл	Bioderma PHOTODERM AQUAFLUIDE CLAIRE LIGHT krem Solntsezashchitniy Dlya Litsa SPF 50+ 40 ml	brand_spelling_not_verified
3523	БИОДЕРМА PHOTODERM AQUAFLUIDE GOLDEN ФЛЮИД СОЛНЦЕЗАЩИТНЫЙ ДЛЯ ЛИЦА SPF 50+ 40МЛ	Биодерма PHOTODERM AQUAFLUIDE GOLDEN Флюид Солнцезащитный ДЛЯ Лица SPF 50+ 40 мл	Bioderma PHOTODERM AQUAFLUIDE GOLDEN Flyuid Solntsezashchitniy Dlya Litsa SPF 50+ 40 ml	brand_spelling_not_verified
3524	БИОДЕРМА PHOTODERM AQUAFLUIDE INVISIBLE КРЕМ СОЛНЦЕЗАЩИТНЫЙ ДЛЯ КОЖИ SPF 50+ 40МЛ	Биодерма PHOTODERM AQUAFLUIDE INVISIBLE крем Солнцезащитный ДЛЯ Кожи SPF 50+ 40 мл	Bioderma PHOTODERM AQUAFLUIDE INVISIBLE krem Solntsezashchitniy Dlya Koji SPF 50+ 40 ml	brand_spelling_not_verified
3525	БИОДЕРМА PHOTODERM AQUAFLUIDE LIGHT ФЛЮИД СОЛНЦЕЗАЩИТНЫЙ ДЛЯ ЛИЦА SPF 50+ 40МЛ	Биодерма PHOTODERM AQUAFLUIDE LIGHT Флюид Солнцезащитный ДЛЯ Лица SPF 50+ 40 мл	Bioderma PHOTODERM AQUAFLUIDE LIGHT Flyuid Solntsezashchitniy Dlya Litsa SPF 50+ 40 ml	brand_spelling_not_verified
3526	БИОДЕРМА PHOTODERM AR КРЕМ ТОНАЛЬНЫЙ SPF 50+ 30МЛ	Биодерма PHOTODERM AR крем Тональный SPF 50+ 30 мл	Bioderma PHOTODERM AR krem Tonalniy SPF 50+ 30 ml	brand_spelling_not_verified
3527	БИОДЕРМА PHOTODERM COVER TOUCH КРЕМ СОЛНЦЕЗАЩИТНЫЙ SPF 50+ 40Г	Биодерма PHOTODERM COVER TOUCH крем Солнцезащитный SPF 50+ 40 г	Bioderma PHOTODERM COVER TOUCH krem Solntsezashchitniy SPF 50+ 40 g	brand_spelling_not_verified
3528	БИОДЕРМА PHOTODERM FLUIDE МАХ INVISIBLE ФЛЮИД СОЛНЦЕЗАЩИТНЫЙ ДЛЯ ЛИЦА SPF 100 40МЛ	Биодерма PHOTODERM FLUIDE МАХ INVISIBLE Флюид Солнцезащитный ДЛЯ Лица SPF 100 40 мл	Bioderma PHOTODERM FLUIDE Max INVISIBLE Flyuid Solntsezashchitniy Dlya Litsa SPF 100 40 ml	brand_spelling_not_verified
3529	БИОДЕРМА PHOTODERM FLUIDE МАХ LIGHT ФЛЮИД СОЛНЦЕЗАЩИТНЫЙ ДЛЯ ЛИЦА SPF 100 40МЛ	Биодерма PHOTODERM FLUIDE МАХ LIGHT Флюид Солнцезащитный ДЛЯ Лица SPF 100 40 мл	Bioderma PHOTODERM FLUIDE Max LIGHT Flyuid Solntsezashchitniy Dlya Litsa SPF 100 40 ml	brand_spelling_not_verified
3530	БИОДЕРМА PHOTODERM M GOLDEN КРЕМ ТОНАЛЬНЫЙ СОЛНЦЕЗАЩИТНЫЙ SPF 50+ 40МЛ	Биодерма PHOTODERM M GOLDEN крем Тональный Солнцезащитный SPF 50+ 40 мл	Bioderma PHOTODERM M GOLDEN krem Tonalniy Solntsezashchitniy SPF 50+ 40 ml	brand_spelling_not_verified
3531	БИОДЕРМА PHOTODERM MAX КРЕМ ТОНАЛЬНЫЙ ДЛЯ ЛИЦА SPF 50+ 40МЛ	Биодерма PHOTODERM MAX крем Тональный ДЛЯ Лица SPF 50+ 40 мл	Bioderma PHOTODERM MAX krem Tonalniy Dlya Litsa SPF 50+ 40 ml	brand_spelling_not_verified
3532	БИОДЕРМА PHOTODERM NUDE TOUCH ФЛЮИД СОЛНЦЕЗАЩИТНЫЙ С ТОНОМ ДЛЯ ЛИЦА SPF 50+ 40МЛ	Биодерма PHOTODERM NUDE TOUCH Флюид Солнцезащитный С Тоном ДЛЯ Лица SPF 50+ 40 мл	Bioderma PHOTODERM NUDE TOUCH Flyuid Solntsezashchitniy S Tonom Dlya Litsa SPF 50+ 40 ml	brand_spelling_not_verified
3533	БИОДЕРМА PHOTODERM PEDIATRICS LAIT КРЕМ СОЛНЦЕЗАЩИТНЫЙ ДЛЯ КОЖИ SPF 50+ 200МЛ	Биодерма PHOTODERM PEDIATRICS LAIT крем Солнцезащитный ДЛЯ Кожи SPF 50+ 200 мл	Bioderma PHOTODERM PEDIATRICS LAIT krem Solntsezashchitniy Dlya Koji SPF 50+ 200 ml	brand_spelling_not_verified
3534	БИОДЕРМА PHOTODERM SPOT-AGE INVISIBLE КРЕМ СОЛНЦЕЗАЩИТНЫЙ ДЛЯ ЛИЦА SPF 50+ 40МЛ	Биодерма PHOTODERM SPOT-AGE INVISIBLE крем Солнцезащитный ДЛЯ Лица SPF 50+ 40 мл	Bioderma PHOTODERM SPOT-AGE INVISIBLE krem Solntsezashchitniy Dlya Litsa SPF 50+ 40 ml	brand_spelling_not_verified
3535	БИОДЕРМА PHOTODERM SPOT-AGE КРЕМ СОЛНЦЕЗАЩИТНЫЙ ДЛЯ ЛИЦА SPF 50+ 40МЛ	Биодерма PHOTODERM SPOT-AGE крем Солнцезащитный ДЛЯ Лица SPF 50+ 40 мл	Bioderma PHOTODERM SPOT-AGE krem Solntsezashchitniy Dlya Litsa SPF 50+ 40 ml	brand_spelling_not_verified
3536	БИОДЕРМА PHOTODERM СПРЕЙ СОЛНЦЕЗАЩИТНЫЙ SPF 50+ 300МЛ	Биодерма PHOTODERM спрей Солнцезащитный SPF 50+ 300 мл	Bioderma PHOTODERM sprey Solntsezashchitniy SPF 50+ 300 ml	brand_spelling_not_verified
3537	БИОДЕРМА PIGMENTBIO C-CONCENTRATE КРЕМ C-КОНЦЕНТРАТ 15МЛ	Биодерма PIGMENTBIO C-CONCENTRATE крем C-Концентрат 15 мл	Bioderma PIGMENTBIO C-CONCENTRATE krem C-Kontsentrat 15 ml	brand_spelling_not_verified
3538	БИОДЕРМА PIGMENTBIO DAILY CARE КРЕМ СОЛНЦЕЗАЩИТНЫЙ Д/ЛИЦА, ШЕИ И ДЕКОЛЬТЕ SPF+50 40МЛ	Биодерма PIGMENTBIO DAILY CARE крем Солнцезащитный для лица, ШЕИ И Декольте SPF+50 40 мл	Bioderma PIGMENTBIO DAILY CARE krem Solntsezashchitniy yuz uchun, Shei I Dekolte SPF+50 40 ml	brand_spelling_not_verified
3539	БИОДЕРМА PIGMENTBIO H 2 O ВОДА МИЦЕЛЛЯРНАЯ 250МЛ	Биодерма PIGMENTBIO H 2 O Вода Мицеллярная 250 мл	Bioderma PIGMENTBIO H 2 O Voda Mitsellyarnaya 250 ml	brand_spelling_not_verified
3540	БИОДЕРМА PIGMENTBIO NIGHT RENEVER КРЕМ ДЛЯ НОЧНОЙ 50МЛ	Биодерма PIGMENTBIO NIGHT RENEVER крем ДЛЯ Ночной 50 мл	Bioderma PIGMENTBIO NIGHT RENEVER krem Dlya Nochnoy 50 ml	brand_spelling_not_verified
3541	БИОДЕРМА PIGMENTBIO КРЕМ ДЛЯ ЧУВСТВИТЕЛЬНЫХ ЗОН 75МЛ	Биодерма PIGMENTBIO крем ДЛЯ Чувствительных ЗОН 75 мл	Bioderma PIGMENTBIO krem Dlya Chuvstvitelnix Zon 75 ml	brand_spelling_not_verified
3542	БИОДЕРМА PIGMENTBIO КРЕМ-ПЕНКА 200МЛ	Биодерма PIGMENTBIO Крем-пенка 200 мл	Bioderma PIGMENTBIO Krem-penka 200 ml	brand_spelling_not_verified
3543	БИОДЕРМА SEBIUM GEL MOUSSANT ACTIF ГЕЛЬ ДЛЯ УМЫВАНИЯ 200МЛ	Биодерма SEBIUM GEL MOUSSANT ACTIF гель ДЛЯ Умывания 200 мл	Bioderma SEBIUM GEL MOUSSANT ACTIF gel Dlya Umivaniya 200 ml	brand_spelling_not_verified
3544	БИОДЕРМА SEBIUM GEL MOUSSANT ГЕЛЬ ДЛЯ УМЫВАНИЯ 200МЛ	Биодерма SEBIUM GEL MOUSSANT гель ДЛЯ Умывания 200 мл	Bioderma SEBIUM GEL MOUSSANT gel Dlya Umivaniya 200 ml	brand_spelling_not_verified
3545	БИОДЕРМА SEBIUM GEL MOUSSANT ГЕЛЬ ДЛЯ УМЫВАНИЯ 500МЛ	Биодерма SEBIUM GEL MOUSSANT гель ДЛЯ Умывания 500 мл	Bioderma SEBIUM GEL MOUSSANT gel Dlya Umivaniya 500 ml	brand_spelling_not_verified
3546	БИОДЕРМА SEBIUM GLOBAL COVER КРЕМ ТОНИРУЮЩИЙ ДЛЯ ЛИЦА 30МЛ	Биодерма SEBIUM GLOBAL COVER крем Тонирующий ДЛЯ Лица 30 мл	Bioderma SEBIUM GLOBAL COVER krem Toniruyushchiy Dlya Litsa 30 ml	brand_spelling_not_verified
3547	БИОДЕРМА SEBIUM GLOBAL КРЕМ ОЧИЩАЮЩИЙ ДЛЯ ЛИЦА 30МЛ	Биодерма SEBIUM GLOBAL крем Очищающий ДЛЯ Лица 30 мл	Bioderma SEBIUM GLOBAL krem Ochishchayushchiy Dlya Litsa 30 ml	brand_spelling_not_verified
3548	БИОДЕРМА SEBIUM GOMMANT ГЕЛЬ-ГОММАЖ ОТШЕЛУШИВАЮЩИЙ 100МЛ	Биодерма SEBIUM GOMMANT Гель-гоммаж Отшелушивающий 100 мл	Bioderma SEBIUM GOMMANT Gel-gommaj Otshelushivayushchiy 100 ml	brand_spelling_not_verified
3549	БИОДЕРМА SEBIUM H 2 O МИЦЕЛЯРНАЯ ВОДА 100МЛ	Биодерма SEBIUM H 2 O Мицелярная Вода 100 мл	Bioderma SEBIUM H 2 O Mitselyarnaya Voda 100 ml	brand_spelling_not_verified
3550	БИОДЕРМА SEBIUM H 2 O МИЦЕЛЯРНАЯ ВОДА 250МЛ	Биодерма SEBIUM H 2 O Мицелярная Вода 250 мл	Bioderma SEBIUM H 2 O Mitselyarnaya Voda 250 ml	brand_spelling_not_verified
3551	БИОДЕРМА SEBIUM H 2 O МИЦЕЛЯРНАЯ ВОДА 500МЛ	Биодерма SEBIUM H 2 O Мицелярная Вода 500 мл	Bioderma SEBIUM H 2 O Mitselyarnaya Voda 500 ml	brand_spelling_not_verified
3552	БИОДЕРМА SEBIUM HYDRA КРЕМ УВЛАЖНЯЮЩИЙ ДЛЯ ЛИЦА 40МЛ	Биодерма SEBIUM HYDRA крем Увлажняющий ДЛЯ Лица 40 мл	Bioderma SEBIUM HYDRA krem Uvlajnyayushchiy Dlya Litsa 40 ml	brand_spelling_not_verified
3553	БИОДЕРМА SEBIUM KERATO+ КРЕМ-ГЕЛЬ ДЛЯ ЛИЦА 30МЛ	Биодерма SEBIUM KERATO+ Крем-гель ДЛЯ Лица 30 мл	Bioderma SEBIUM KERATO+ Krem-gel Dlya Litsa 30 ml	brand_spelling_not_verified
3554	БИОДЕРМА SEBIUM LOTION ТОНИК Д/ЛИЦА ДЛЯ ЖИРНОЙ И КОМБИНИРОВАННОЙ КОЖИ 200МЛ	Биодерма SEBIUM LOTION Тоник для лица ДЛЯ Жирной И Комбинированной Кожи 200 мл	Bioderma SEBIUM LOTION Tonik yuz uchun Dlya Jirnoy I Kombinirovannoy Koji 200 ml	unresolved_abbreviation
3555	БИОДЕРМА SEBIUM MAT CONTROL КРЕМ ДЛЯ ЛИЦА 30МЛ	Биодерма SEBIUM MAT CONTROL крем ДЛЯ Лица 30 мл	Bioderma SEBIUM MAT CONTROL krem Dlya Litsa 30 ml	brand_spelling_not_verified
3556	БИОДЕРМА SEBIUM NIGHT СЫВОРОТКА НОЧНОЙ 40МЛ	Биодерма SEBIUM NIGHT Сыворотка Ночной 40 мл	Bioderma SEBIUM NIGHT Sivorotka Nochnoy 40 ml	brand_spelling_not_verified
3557	БИОДЕРМА SEBIUM PORE REFINER КРЕМ ДЛЯ СУЖЕНИЯ ПОР 30МЛ	Биодерма SEBIUM PORE REFINER крем ДЛЯ Сужения порошок 30 мл	Bioderma SEBIUM PORE REFINER krem Dlya Sujeniya kukun 30 ml	brand_spelling_not_verified
3558	БИОДЕРМА SEBIUM SENSITIVE КРЕМ ДЛЯ ЛИЦА 30МЛ	Биодерма SEBIUM SENSITIVE крем ДЛЯ Лица 30 мл	Bioderma SEBIUM SENSITIVE krem Dlya Litsa 30 ml	brand_spelling_not_verified
3559	БИОДЕРМА SENSIBIO AR BB CREAM КРЕМ ДЛЯ КОЖИ С ПОКРАСНЕНИЯМИ И РОЗАЦЕА SPF30 40МЛ	Биодерма SENSIBIO AR BB CREAM крем ДЛЯ Кожи С Покраснениями И Розацеа SPF30 40 мл	Bioderma SENSIBIO AR BB CREAM krem Dlya Koji S Pokrasneniyami I Rozatsea SPF30 40 ml	brand_spelling_not_verified
3560	БИОДЕРМА SENSIBIO AR КРЕМ УВЛАЖНЯЮЩИЙ ДЛЯ КОЖИ С ПОКРАСНЕНИЯМИ 40МЛ	Биодерма SENSIBIO AR крем Увлажняющий ДЛЯ Кожи С Покраснениями 40 мл	Bioderma SENSIBIO AR krem Uvlajnyayushchiy Dlya Koji S Pokrasneniyami 40 ml	brand_spelling_not_verified
3561	БИОДЕРМА SENSIBIO DEFENSIVE RICH КРЕМ НАСЫЩЕННЫЙ ДЛЯ ЛИЦА 40МЛ	Биодерма SENSIBIO DEFENSIVE RICH крем Насыщенный ДЛЯ Лица 40 мл	Bioderma SENSIBIO DEFENSIVE RICH krem Nasishchenniy Dlya Litsa 40 ml	brand_spelling_not_verified
3562	БИОДЕРМА SENSIBIO DEFENSIVE КРЕМ ЛЕГКИЙ ДЛЯ ЧУВСТВИТЕЛЬНОЙ КОЖИ 40МЛ	Биодерма SENSIBIO DEFENSIVE крем Легкий ДЛЯ Чувствительной Кожи 40 мл	Bioderma SENSIBIO DEFENSIVE krem Legkiy Dlya Chuvstvitelnoy Koji 40 ml	brand_spelling_not_verified
3563	БИОДЕРМА SENSIBIO DS+ ГЕЛЬ ОЧИЩАЮЩИЙ 200МЛ	Биодерма SENSIBIO DS+ гель Очищающий 200 мл	Bioderma SENSIBIO DS+ gel Ochishchayushchiy 200 ml	brand_spelling_not_verified
3564	БИОДЕРМА SENSIBIO DS+ КРЕМ ОЧИЩАЮЩИЙ 40МЛ	Биодерма SENSIBIO DS+ крем Очищающий 40 мл	Bioderma SENSIBIO DS+ krem Ochishchayushchiy 40 ml	brand_spelling_not_verified
3565	БИОДЕРМА SENSIBIO DS+GEL MOUSSANT ГЕЛЬ ОЧИЩАЮЩИЙ 200МЛ	Биодерма SENSIBIO DS+GEL MOUSSANT гель Очищающий 200 мл	Bioderma SENSIBIO DS+GEL MOUSSANT gel Ochishchayushchiy 200 ml	brand_spelling_not_verified
3566	БИОДЕРМА SENSIBIO EYE КРЕМ-ГЕЛЬ ДЛЯ КОНТУРА ГЛАЗ 15МЛ	Биодерма SENSIBIO EYE Крем-гель ДЛЯ Контура Глаз 15 мл	Bioderma SENSIBIO EYE Krem-gel Dlya Kontura Glaz 15 ml	brand_spelling_not_verified
3567	БИОДЕРМА SENSIBIO GEL MOUSSANT ГЕЛЬ ОЧИЩАЮЩИЙ 200МЛ	Биодерма SENSIBIO GEL MOUSSANT гель Очищающий 200 мл	Bioderma SENSIBIO GEL MOUSSANT gel Ochishchayushchiy 200 ml	brand_spelling_not_verified
3568	БИОДЕРМА SENSIBIO H 2 O AR ВОДА МИЦЕЛЛЯРНАЯ 250МЛ	Биодерма SENSIBIO H 2 O AR Вода Мицеллярная 250 мл	Bioderma SENSIBIO H 2 O AR Voda Mitsellyarnaya 250 ml	brand_spelling_not_verified
3569	БИОДЕРМА SENSIBIO H 2 O ВОДА МИЦЕЛЛЯРНАЯ 100МЛ	Биодерма SENSIBIO H 2 O Вода Мицеллярная 100 мл	Bioderma SENSIBIO H 2 O Voda Mitsellyarnaya 100 ml	brand_spelling_not_verified
3570	БИОДЕРМА SENSIBIO H 2 O ВОДА МИЦЕЛЛЯРНАЯ 250МЛ	Биодерма SENSIBIO H 2 O Вода Мицеллярная 250 мл	Bioderma SENSIBIO H 2 O Voda Mitsellyarnaya 250 ml	brand_spelling_not_verified
3571	БИОДЕРМА SENSIBIO H 2 O ВОДА МИЦЕЛЛЯРНАЯ 500МЛ	Биодерма SENSIBIO H 2 O Вода Мицеллярная 500 мл	Bioderma SENSIBIO H 2 O Voda Mitsellyarnaya 500 ml	brand_spelling_not_verified
3572	БИОДЕРМА SENSIBIO SOOTHING ГЕЛЬ ОЧИЩАЮЩИЙ 500МЛ	Биодерма SENSIBIO SOOTHING гель Очищающий 500 мл	Bioderma SENSIBIO SOOTHING gel Ochishchayushchiy 500 ml	brand_spelling_not_verified
3573	БИОДЕРМА SENSIBIO TONIQUE ЛОСЬОН ДЛЯ ЧУВСТВИТЕЛЬНОЙ КОЖИ ЛИЦА 250МЛ	Биодерма SENSIBIO TONIQUE Лосьон ДЛЯ Чувствительной Кожи Лица 250 мл	Bioderma SENSIBIO TONIQUE Loson Dlya Chuvstvitelnoy Koji Litsa 250 ml	brand_spelling_not_verified
3574	БИОДЕТОКС КАПС 250МГ №30	Биодетокс капсулы 250 мг №30	Biodetoks kapsula 250 mg №30	brand_spelling_not_verified
3575	БИОДИКАР ТАБ №60	Биодикар таблетки №60	Biodikar tabletka №60	brand_spelling_not_verified
3576	БИОДОБАВКА К ПИЩЕ "A" КАПС №30	Биодобавка К Пище "A" капсулы №30	Biodobavka K Pishche "A" kapsula №30	brand_spelling_not_verified
3577	БИОДОБАВКА К ПИЩЕ "CH" КАПС №60	Биодобавка К Пище "CH" капсулы №60	Biodobavka K Pishche "CH" kapsula №60	brand_spelling_not_verified
3578	БИОДОБАВКА К ПИЩЕ "D" КАПС №60	Биодобавка К Пище "D" капсулы №60	Biodobavka K Pishche "D" kapsula №60	brand_spelling_not_verified
3579	БИОДОБАВКА К ПИЩЕ "JN" КАПС №60	Биодобавка К Пище "JN" капсулы №60	Biodobavka K Pishche "JN" kapsula №60	brand_spelling_not_verified
3580	БИОДОБАВКА К ПИЩЕ "M" КАПС №60	Биодобавка К Пище "M" капсулы №60	Biodobavka K Pishche "M" kapsula №60	brand_spelling_not_verified
3581	БИОДОБАВКА К ПИЩЕ "N" КАПС №60	Биодобавка К Пище "N" капсулы №60	Biodobavka K Pishche "N" kapsula №60	brand_spelling_not_verified
3582	БИОДОБАВКА К ПИЩЕ "P" КАПС №60	Биодобавка К Пище "P" капсулы №60	Biodobavka K Pishche "P" kapsula №60	brand_spelling_not_verified
3583	БИОДОБАВКА К ПИЩЕ "SV" КАПС №60	Биодобавка К Пище "SV" капсулы №60	Biodobavka K Pishche "SV" kapsula №60	brand_spelling_not_verified
3584	БИОДРОГА MD КРЕМ ANTI-REDNESS CALMING АНТИКУПЕРОЗНЫЙ С ТЕТРАПЕПТИДАМИ 50МЛ	Биодрога MD крем ANTI-REDNESS CALMING Антикуперозный С Тетрапептидами 50 мл	Biodroga MD krem ANTI-REDNESS CALMING Antikuperozniy S Tetrapeptidami 50 ml	brand_spelling_not_verified
3585	БИОДРОГА MD КРЕМ EVEN & PERFECT HIGH UV Д/ЛИЦА СОЛНЦЕЗАЩИТНЫЙ SPF 30 75МЛ	Биодрога MD крем EVEN & PERFECT HIGH UV для лица Солнцезащитный SPF 30 75 мл	Biodroga MD krem EVEN & PERFECT HIGH UV yuz uchun Solntsezashchitniy SPF 30 75 ml	unresolved_abbreviation
3586	БИОДРОГА MD КРЕМ EVEN & PERFECT HIGH UV Д/ЛИЦА СОЛНЦЕЗАЩИТНЫЙ SPF 50 75МЛ	Биодрога MD крем EVEN & PERFECT HIGH UV для лица Солнцезащитный SPF 50 75 мл	Biodroga MD krem EVEN & PERFECT HIGH UV yuz uchun Solntsezashchitniy SPF 50 75 ml	unresolved_abbreviation
3587	БИОДРОГА MD ЛОСЬОН CLEAR+ Д/КОЖИ ОЧИЩАЮЩИЙ 190МЛ	Биодрога MD Лосьон CLEAR+ Д/кожи Очищающий 190 мл	Biodroga MD Loson CLEAR+ D/koji Ochishchayushchiy 190 ml	unresolved_abbreviation
3588	БИОДРОГА MD ПИЛИНГ CLEANSING SKIN REFINING Д/ЛИЦА ОЧИЩАЮЩИЙ 30МЛ	Биодрога MD Пилинг CLEANSING SKIN REFINING для лица Очищающий 30 мл	Biodroga MD Piling CLEANSING SKIN REFINING yuz uchun Ochishchayushchiy 30 ml	unresolved_abbreviation
3589	БИОДРОГА MD ФЛЮИД ТОНАЛЬНЫЙ EVEN & PERFECT SKIN TONE КОРРЕКТИРУЮЩИЙ SPF 15 30МЛ	Биодрога MD Флюид Тональный EVEN & PERFECT SKIN TONE Корректирующий SPF 15 30 мл	Biodroga MD Flyuid Tonalniy EVEN & PERFECT SKIN TONE Korrektiruyushchiy SPF 15 30 ml	brand_spelling_not_verified
3590	БИОДРОГА ГЕЛЬ SOOTHING SHOWER GEL Д/ДУША УСПОКАИВАЮЩИЙ 150МЛ	Биодрога гель SOOTHING SHOWER GEL Д/душа Успокаивающий 150 мл	Biodroga gel SOOTHING SHOWER GEL D/dusha Uspokaivayushchiy 150 ml	unresolved_abbreviation
3591	БИОДРОГА КРЕМ PURAN FORMULA ПРОТИВ НЕСОВЕРШЕНСТ КОЖИ 15МЛ	Биодрога крем PURAN FORMULA Против Несовершенст Кожи 15 мл	Biodroga krem PURAN FORMULA Protiv Nesovershenst Koji 15 ml	brand_spelling_not_verified
3592	БИОДРОГА КРЕМ SHIMMERING RICH ANTI-AGE BODY CREAM Д/ТЕЛА АНТИВОЗРАСТНОЙ 200МЛ	Биодрога крем SHIMMERING RICH ANTI-AGE BODY CREAM для тела Антивозрастной 200 мл	Biodroga krem SHIMMERING RICH ANTI-AGE BODY CREAM tana uchun Antivozrastnoy 200 ml	unresolved_abbreviation
3593	БИОДРОГА ЛОСЬОН CLEANSING REFRESHING SKIN LOTION Д/КОЖИ ОСВЕЖАЮЩИЙ ТОНИЗИРУЮЩИЙ 390МЛ	Биодрога Лосьон CLEANSING REFRESHING SKIN LOTION Д/кожи Освежающий Тонизирующий 390 мл	Biodroga Loson CLEANSING REFRESHING SKIN LOTION D/koji Osvejayushchiy Toniziruyushchiy 390 ml	unresolved_abbreviation
3594	БИОДРОГА ЛОСЬОН CLEANSING Д/КОЖИ ОЧИЩАЮЩИЙ 390МЛ	Биодрога Лосьон CLEANSING Д/кожи Очищающий 390 мл	Biodroga Loson CLEANSING D/koji Ochishchayushchiy 390 ml	unresolved_abbreviation
3595	БИОДРОГА МАСЛО-КРЕМ ULTRA RICH ANTI-AGE BODY BUTTER Д/ТЕЛА СУХОЙ ДЛЯ КОЖИ 200МЛ	Биодрога Масло-крем ULTRA RICH ANTI-AGE BODY BUTTER для тела Сухой ДЛЯ Кожи 200 мл	Biodroga Maslo-krem ULTRA RICH ANTI-AGE BODY BUTTER tana uchun Suxoy Dlya Koji 200 ml	unresolved_abbreviation
3596	БИОКАЛЬЦИЙ Д3 ТАБ ЖЕВ №50	Биокальций Д3 таблетки ЖЕВ №50	Biokaltsiy D3 tabletka Jev №50	brand_spelling_not_verified
3597	БИОКАРД КАПС №30	Биокард капсулы №30	Biokard kapsula №30	brand_spelling_not_verified
3598	БИОКАРТ-МСМ ТАБ №30	Биокарт-мсм таблетки №30	Biokart-msm tabletka №30	brand_spelling_not_verified
3599	БИОКОН КРЕМ ОТБЕЛИВАЮЩИЙ ДНЕВНОЙ SPF 20 75МЛ	Биокон крем Отбеливающий Дневной SPF 20 75 мл	Biokon krem Otbelivayushchiy Dnevnoy SPF 20 75 ml	brand_spelling_not_verified
3600	БИОКОН КРЕМ-АКТИВ ПРОТИВ ПРЫЩЕЙ 75МЛ	Биокон Крем-актив Против Прыщей 75 мл	Biokon Krem-aktiv Protiv Prishchey 75 ml	brand_spelling_not_verified
3601	БИОКОН ШАМПУНЬ СИЛА ВОЛОС РЕПЕЙНОЕ МАСЛО+НАСТОЙКА ПЕРЦА 215МЛ	Биокон шампунь Сила Волос Репейное масло+Настойка Перца 215 мл	Biokon shampun Sila Volos Repeynoe moy+Nastoyka Pertsa 215 ml	brand_spelling_not_verified
